------------------------- 2017-11-27 08:23:27.302946 -------------------------
SUCCESS:教育家, all_fenlei size:3396, rest in work_list:3297
SUCCESS:书画家, all_fenlei size:3396, rest in work_list:3296
SUCCESS:元朝, all_fenlei size:3402, rest in work_list:3301
SUCCESS:中国画家, all_fenlei size:3412, rest in work_list:3310
SUCCESS:中华名人, all_fenlei size:3414, rest in work_list:3311
SUCCESS:中国人, all_fenlei size:3446, rest in work_list:3342
SUCCESS:农业, all_fenlei size:3531, rest in work_list:3426
SUCCESS:贵州, all_fenlei size:3559, rest in work_list:3453
SUCCESS:中东, all_fenlei size:3570, rest in work_list:3463
SUCCESS:中东人物, all_fenlei size:3571, rest in work_list:3463
SUCCESS:林业, all_fenlei size:3585, rest in work_list:3476
SUCCESS:名人, all_fenlei size:3627, rest in work_list:3517
SUCCESS:民间故事, all_fenlei size:3627, rest in work_list:3516
SUCCESS:学者, all_fenlei size:3656, rest in work_list:3544
SUCCESS:中国国画家, all_fenlei size:3661, rest in work_list:3548
SUCCESS:美国, all_fenlei size:3722, rest in work_list:3608
SUCCESS:中国共产党, all_fenlei size:3730, rest in work_list:3615
SUCCESS:中国君主, all_fenlei size:3741, rest in work_list:3625
SUCCESS:中秋节, all_fenlei size:3743, rest in work_list:3626
SUCCESS:黑龙江, all_fenlei size:3772, rest in work_list:3654
SUCCESS:领导, all_fenlei size:3795, rest in work_list:3676
SUCCESS:教育部, all_fenlei size:3827, rest in work_list:3707
SUCCESS:书法家, all_fenlei size:3835, rest in work_list:3714
SUCCESS:韩国明星, all_fenlei size:3843, rest in work_list:3721
SUCCESS:演员, all_fenlei size:3874, rest in work_list:3751
SUCCESS:娱乐, all_fenlei size:3884, rest in work_list:3760
SUCCESS:动画, all_fenlei size:3901, rest in work_list:3776
SUCCESS:古典音乐, all_fenlei size:3922, rest in work_list:3796
SUCCESS:佛教人士, all_fenlei size:3926, rest in work_list:3799
SUCCESS:中国经济学家, all_fenlei size:3929, rest in work_list:3801
SUCCESS:中文网络写手, all_fenlei size:3932, rest in work_list:3803
SUCCESS:世界名人, all_fenlei size:3937, rest in work_list:3807
SUCCESS:人文领域人物, all_fenlei size:3943, rest in work_list:3812
SUCCESS:HOT, all_fenlei size:4005, rest in work_list:3873
SUCCESS:中国书法家, all_fenlei size:4005, rest in work_list:3872
SUCCESS:官员, all_fenlei size:4005, rest in work_list:3871
SUCCESS:公仆, all_fenlei size:4005, rest in work_list:3870
SUCCESS:部长, all_fenlei size:4005, rest in work_list:3869
SUCCESS:各国艺术家, all_fenlei size:4013, rest in work_list:3876
SUCCESS:南京大学, all_fenlei size:4022, rest in work_list:3884
SUCCESS:校长, all_fenlei size:4043, rest in work_list:3904
SUCCESS:新华社, all_fenlei size:4045, rest in work_list:3905
SUCCESS:音乐, all_fenlei size:4050, rest in work_list:3909
SUCCESS:歌曲, all_fenlei size:4081, rest in work_list:3939
SUCCESS:总裁, all_fenlei size:4082, rest in work_list:3939
SUCCESS:赵本山, all_fenlei size:4083, rest in work_list:3939
SUCCESS:院校, all_fenlei size:4095, rest in work_list:3950
SUCCESS:人民法院, all_fenlei size:4095, rest in work_list:3949
SUCCESS:大法官, all_fenlei size:4095, rest in work_list:3948
SUCCESS:教师, all_fenlei size:4133, rest in work_list:3985
SUCCESS:大学教授, all_fenlei size:4133, rest in work_list:3984
SUCCESS:北京, all_fenlei size:4155, rest in work_list:4005
SUCCESS:专栏作家, all_fenlei size:4156, rest in work_list:4005
SUCCESS:山东, all_fenlei size:4173, rest in work_list:4021
SUCCESS:河南, all_fenlei size:4173, rest in work_list:4020
SUCCESS:虚拟领域人物, all_fenlei size:4176, rest in work_list:4022
SUCCESS:游戏人物, all_fenlei size:4197, rest in work_list:4042
SUCCESS:卡通人物, all_fenlei size:4199, rest in work_list:4043
SUCCESS:小说人物, all_fenlei size:4204, rest in work_list:4047
SUCCESS:神话人物, all_fenlei size:4213, rest in work_list:4055
SUCCESS:影视角色, all_fenlei size:4216, rest in work_list:4057
SUCCESS:吉祥物, all_fenlei size:4220, rest in work_list:4060
SUCCESS:体育人物, all_fenlei size:4242, rest in work_list:4081
SUCCESS:热点人物, all_fenlei size:4242, rest in work_list:4080
SUCCESS:自然科学人物, all_fenlei size:4246, rest in work_list:4083
SUCCESS:社会科学人物, all_fenlei size:4271, rest in work_list:4107
SUCCESS:火影忍者, all_fenlei size:4274, rest in work_list:4109
SUCCESS:动漫角色, all_fenlei size:4278, rest in work_list:4112
SUCCESS:各国文学人物, all_fenlei size:4278, rest in work_list:4111
SUCCESS:三国人物, all_fenlei size:4281, rest in work_list:4113
SUCCESS:三国演义人物, all_fenlei size:4281, rest in work_list:4112
SUCCESS:鹿鼎记, all_fenlei size:4281, rest in work_list:4111
SUCCESS:武侠, all_fenlei size:4306, rest in work_list:4135
SUCCESS:dota, all_fenlei size:4316, rest in work_list:4144
